Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,NA,Ebola,Humans,NA,2349696,PRO/AH/EDR> Undiagnosed viral hemorrhagic fever - Guinea (02): Ebola conf.,http://promedmail.org/direct.php?id=20140322.2349696,3/22/14 21:47,No Tag,80,59,NA,NA,NA,NA,6,NA,NA,ProMED Mail,"Canadian Broadcasting Company (CBC), Thomson Reuters report [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2349697,"PRO/AH/EDR> Ebola virus disease - Sierra Leone: susp. alert, RFI",http://promedmail.org/direct.php?id=20140322.2349697,3/22/14 22:3,No Tag,NA,29,NA,NA,80,NA,NA,NA,NA,ProMED Mail,Reuters [edited],WHO
Guinea,Guinea,NA,Ebola,Humans,NA,2349865,"PRO/AH/EDR> Ebola virus disease - West Africa: Guinea, Zaire ebolavirus suspected",http://promedmail.org/direct.php?id=20140322.2349865,3/22/14 23:2,No Tag,NA,NA,NA,NA,NA,NA,6,NA,NA,ProMED Mail,Sylvain Baize & Delphine Pannetier,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2354606,PRO/AH/EDR> Ebola virus disease - Guinea: not Conakry,http://promedmail.org/direct.php?id=20140324.2354606,3/24/14 22:29,No Tag,NA,NA,NA,NA,87,61,NA,NA,NA,ProMED Mail,BBC News [edited],Guinea MOH
Guinea,Guinea,NA,Ebola,Humans,NA,2359281,PRO/AH/EDR> Ebola virus disease - Guinea (02): bat eating banned,http://promedmail.org/direct.php?id=20140326.2359281,3/26/14 14:49,No Tag,NA,NA,NA,NA,NA,62,NA,NA,NA,ProMED Mail,BBC News Africa [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2359361,"PRO/AH/EDR> Ebola virus disease - Guinea (03): WHO update, travel health advisories",http://promedmail.org/direct.php?id=20140326.2359361,3/26/14 17:38,No Tag,NA,NA,NA,NA,86,62,20,NA,NA,ProMED Mail,WHO/AFRO [edited],NA
Guinea,Guinea,Guekedou,Ebola,Humans,NA,2359361,"PRO/AH/EDR> Ebola virus disease - Guinea (03): WHO update, travel health advisories",http://promedmail.org/direct.php?id=20140326.2359361,3/26/14 17:38,No Tag,NA,NA,6,NA,NA,NA,NA,NA,NA,ProMED Mail,US CDC Travel Health Notices [edited],NA
Liberia,Liberia,"Voinjama, Lofa County",Ebola,Humans,NA,2360265,"PRO/AH/EDR> Ebola virus disease - Liberia ex Guinea: susp. alert, RFI",http://promedmail.org/direct.php?id=20140326.2360265,3/26/14 22:36,No Tag,6,5,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,"The New Dawn, Liberia 25 March 2014 [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2360265,"PRO/AH/EDR> Ebola virus disease - Liberia ex Guinea: susp. alert, RFI",http://promedmail.org/direct.php?id=20140326.2360265,3/26/14 22:36,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,3/28/14 15:58,No Tag,NA,NA,NA,NA,103,66,15,NA,NA,ProMED Mail,WHO Disease Outbreak News [edited],NA
Guinea,Guinea,Conakry,Ebola,Humans,NA,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,3/28/14 15:58,No Tag,4,1,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,WHO Disease Outbreak News [edited],NA
Guinea,Guinea,Guekedou,Ebola,Humans,NA,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,3/28/14 15:58,No Tag,8,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,WHO Disease Outbreak News [edited],NA
